der,izq
"147,836",89.52415362596645
"148,272",88.70462618335125
"148,683",87.88704147638123
"149,067",87.07342739135493
"149,421",86.26275968362413
"149,742",85.45604343594087
"150,028",84.65430002883332
"150,278",83.85751153757208
"150,49",83.06765593550475
"150,663",82.28474744228832
"150,797",81.51078006778118
"150,891",80.74573468453099
"150,945",79.99162121904783
"150,959",79.2494098750874
"150,934",78.52109323223048
"150,87",77.80668392046037
"150,767",77.10815801043256
"150,625",76.42653423333265
"150,447",75.76378823406037
"150,23",75.11994864453825
"149,978",74.4950118330348
"149,689",73.88999730971443
"149,366",73.30392887062101
"149,008",72.73881698743878
"148,616",72.19169013604971
"148,191",71.6625807846555
"147,735",71.15150535752183
"147,248",70.6565176698308
"146,732",70.17662956336248
"146,187",69.71085329149835
"145,615",69.25821800863665
"145,017",68.81871002697328
"144,394",68.39335449635207
"143,748",67.98210381176574
"143,08",67.58792830653341
"142,392",67.21181716997212
"141,685",66.85868479197066
"140,96",66.53049004723009
"140,219",66.23018056616189
"139,463",65.96169232034971
"138,692",65.72600701778418
"137,908",65.52709220618007
"137,111",65.36493897593998
"136,301",65.24354773261454
"135,479",65.16193665010194
"134,646",65.12117104554116
"133,802",65.12127809181962
"132,948",65.1632922866894
"132,085",65.24430642367075
"131,214",65.3653252991627
"130,336",65.52344439212806
"129,451",65.71965442119662
"128,56",65.95006315043784
"127,663",66.21366758535761
"126,762",66.50949786481357
"125,856",66.8345886401797
"124,945",67.1879716551204
"124,031",67.56861277819407
"123,114",67.97455376863563
"122,193",68.40476070433374
"121,271",68.85727547458426
"120,347",69.33203743380753
"119,423",69.82705484316057
"118,501",70.34330546379958
"117,58",70.87975340800203
"116,664",71.43440573451848
"115,753",72.00823908883925
"114,848",72.6002331267862
"113,951",73.20839419902131
"113,061",73.83269211574334
"112,178",74.47312911767278
"111,303",75.12769477779261
"110,434",75.79640810757645
"109,57",76.47826526913761
"108,711",77.17422542789826
"107,855",77.88133738081603
"107,002",78.60156692058463
"106,151",79.3329029961495
"105,303",80.07534755318638
"104,456",80.82989200653519
"103,613",81.59452491940661
"102,773",82.36924784596887
"101,937",83.15305594863452
"101,105",83.94497763341656
"100,28",84.74397573599599
"99,4604",85.55008522932391
"98,6483",86.3612957452563
"97,8439",87.17662015699433
"97,048",87.99607782752415
"96,2611",88.81765903909533
"95,4835",89.64235663491829
"94,7157",90.46718727175399
"93,9581",91.29411724598266
"93,2108",92.12115248902107
"92,474",92.94928520927579
"91,748",93.77749433182423
"91,0328",94.60576499049117
"90,3286",95.4340984572448
"89,6354",96.26246281588843
"88,9535",97.08988551660858
"88,283",97.9163182195709
"87,624",98.740804860864
"86,9769",99.56331378861391
"86,3419",100.38287274363753
"85,7195",101.19946672464984
"85,1102",102.01111752816763
"84,5145",102.81881698246029
"83,9334",103.62256650364102
"83,3676",104.42235084582569
"82,8181",105.21916065276233
"82,2859",106.01396941152443
"81,772",106.80578695120846
"81,2776",107.59756588926548
"80,8034",108.38930449998847
"80,3504",109.18096813516668
"79,9192",109.97356119221918
"79,5103",110.7660919777346
"79,1242",111.55855922085361
"78,7612",112.34998863128179
"78,4214",113.14039646551267
"78,1052",113.92778679067573
"77,8123",114.71122039503027
"77,5429",115.48961050951402
"77,2967",116.26157389751562
"77,0733",117.02604127710703
"76,8723",117.7823066779149
"76,693",118.52938361349047
"76,5347",119.26676411593859
"76,3962",119.99395645898728
"76,2765",120.71063371350708
"76,1742",121.41668288067301
"76,0876",122.11198889120725
"76,0152",122.79653029178533
"75,9555",123.47038910346845
"75,9071",124.13365355257606
"75,8688",124.78660455910178
"75,84",125.42913501440238
"75,8203",126.06133567744504
"75,81",126.6831025129522
"75,8097",127.29433479500142
"75,8205",127.89493184114819
"75,844",128.48439878568132
"75,8822",129.06244062289272
"75,937",129.62876251111675
"76,0107",130.18287512082358
"76,1053",130.72438174732707
"76,2225",131.25288910888466
"76,364",131.76800075767136
"76,5307",132.26951827298333
"76,7235",132.7571442314647
"76,9426",133.23057461533324
"77,1881",133.6896076248562
"77,4595",134.13414036152875
"77,7562",134.56386856460844
"78,0775",134.97888547014466
"78,4222",135.37898718345684
"78,7893",135.76406873665877
"79,1777",136.13412734567115
"79,586",136.48905950799988
"80,0133",136.8288606392283
"80,4585",137.15313182827765
"80,9206",137.46157492131462
"81,3988",137.7536906137621
"81,8925",138.02908534309856
"82,4012",138.28696487205798
"82,9244",138.52693280491752
"83,4619",138.74859449262135
"84,0137",138.95175167638578
"84,5798",139.13620770694047
"85,1602",139.30215517597907
"85,7553",139.45008492925112
"86,3653",139.58058305240854
"86,9906",139.6942367960235
"87,6314",139.7918243136345
"88,2883",139.87393187363762
"88,9613",139.94114542024738
"89,6506",139.99385597716608
"90,3563",140.0321575530781
